CATEGORIA,PROMPT,TAREFA
Product Mockup,"Create realistic product mockups for a [specific type of product e.g., ‘smartphone’] named [specific product name e.g., ‘NexaPhone’], showcasing its [specific features or design elements e.g., ‘sleek design and dual camera setup’], set against a [specific background or setting e.g., ‘minimalistic white backdrop’].","Crie modelos de produtos realistas para um [tipo específico de produto, por exemplo, 'smartphone'] chamado [nome de produto específico, por exemplo, 'NexaPhone'], apresentando seus [recursos específicos ou elementos de design, por exemplo, 'design elegante e configuração de câmera dupla'], conjunto contra um [fundo ou cenário específico, por exemplo, 'pano de fundo branco minimalista']."
shirt Design,"Design creative vector graphics for a T-shirt showcasing [specific theme or subject e.g., ‘nature and wildlife’], incorporating elements that resonate with [specific mood or feeling e.g., ‘adventure and exploration’], and featuring [specific elements or objects e.g., ‘a soaring eagle and mountains’]. The design should be suitable for [specific color or style of T-shirt e.g., ‘a black round-neck T-shirt’].","Crie gráficos vetoriais criativos para uma camiseta apresentando [tema ou assunto específico, por exemplo, 'natureza e vida selvagem'], incorporando elementos que ressoem com [humor ou sentimento específico, por exemplo, 'aventura e exploração'] e apresentando [elementos ou objetos específicos por exemplo, 'uma águia voadora e montanhas']. O design deve ser adequado para [cor ou estilo específico da camiseta, por exemplo, ‘uma camiseta preta com gola redonda’]."
Mug Print Design,"Design unique mug prints for [specific occasion or theme e.g., ‘Christmas’] featuring [specific elements or characters e.g., ‘reindeer and snowflakes’] with a touch of [specific color or style e.g., ‘gold accents’]. (Tall)","Crie estampas de canecas exclusivas para [ocasião ou tema específico, por exemplo, 'Natal'] apresentando [elementos ou personagens específicos, por exemplo, 'renas e flocos de neve'] com um toque de [cor ou estilo específico, por exemplo, 'acentos dourados']. (Alto)"
Sticker Design,"Vector stickers of [specific subject or character e.g., ‘a playful cat’], adorned with [specific elements or theme e.g., ‘stars and moons’], and conveying the emotion of [specific feeling or mood e.g., ‘joy and mischief’].","Adesivos vetoriais de [assunto ou personagem específico, por exemplo, 'um gato brincalhão'], adornados com [elementos ou tema específico, por exemplo, 'estrelas e luas'], e transmitindo a emoção de [sentimento ou humor específico, por exemplo, 'alegria e travessura' ]."
Interior Design,"Visualize cohesive interior designs for a [specific type of room e.g., ‘living room’] with a [specific style e.g., ‘modern’] aesthetic, incorporating elements that resonate with [specific theme or feeling e.g., ‘tranquility and nature’]. Ensure the space includes [specific furniture or features e.g., ‘a cozy couch, a coffee table, and large windows’] and is adorned with [specific color palette e.g., ‘shades of blue and white’].","Visualize designs de interiores coesos para um [tipo específico de ambiente, por exemplo, 'sala de estar'] com uma estética [estilo específico, por exemplo, 'moderno'], incorporando elementos que ressoam com [tema ou sentimento específico, por exemplo, 'tranquilidade e natureza']. Certifique-se de que o espaço inclua [móveis ou recursos específicos, por exemplo, 'um sofá aconchegante, uma mesa de centro e janelas grandes'] e seja adornado com [paleta de cores específicas, por exemplo, 'tons de azul e branco']."
Apparel Design,"Illustrations of unique apparel items for a [specific occasion e.g., ‘summer beach party’] inspired by [specific theme or pattern e.g., ‘tropical flowers’], tailored for [specific gender or age group e.g., ‘women in their 20s’]. The design should highlight features such as [specific elements or details e.g., ‘ruffled sleeves and a tie-front’].","Ilustrações de itens de vestuário exclusivos para uma [ocasião específica, por exemplo, 'festa de verão na praia'] inspirados em [tema ou padrão específico, por exemplo, 'flores tropicais'], feitos sob medida para [sexo ou faixa etária específica, por exemplo, 'mulheres na faixa dos 20 anos'] . O design deve destacar características como [elementos ou detalhes específicos, por exemplo, ‘mangas com babados e gravata na frente’]."
Flyers Design,"Design eye-catching flyers for a [specific event or purpose e.g., ‘music festival’] titled [specific title e.g., ‘Summer Grooves’], featuring [specific main elements or attractions e.g., ‘live bands, food stalls, and fireworks’]. Include essential details like [specific date e.g., ‘July 25th’], [specific location e.g., ‘Central Park’], and [specific call-to-action e.g., ‘Get your tickets now!’]. (Tall)","Crie folhetos atraentes para um [evento ou propósito específico, por exemplo, 'festival de música'] intitulado [título específico, por exemplo, 'Summer Grooves'], apresentando [elementos principais ou atrações específicas, por exemplo, 'bandas ao vivo, barracas de comida e fogos de artifício' ]. Inclua detalhes essenciais como [data específica, por exemplo, '25 de julho'], [local específico, por exemplo, 'Central Park'] e [apelo à ação específico, por exemplo, 'Adquira seus ingressos agora!']. (Alto)"
Icon Design,"Design sleek vector icons representing [specific object or theme e.g., ‘cloud storage’], utilizing [specific color palette e.g., ‘blue and white shades’], and embodying a [specific style or mood e.g., ‘minimalistic and modern’].","Projete ícones vetoriais elegantes representando [objeto ou tema específico, por exemplo, 'armazenamento em nuvem'], utilizando [paleta de cores específica, por exemplo, 'tons de azul e branco'] e incorporando um [estilo ou clima específico, por exemplo, 'minimalista e moderno']."
Banner Design,"Design visually striking banners for a [specific occasion or purpose e.g., ‘summer sale’]. Incorporate elements that represent [specific theme or feeling e.g., ‘beach vibes and relaxation’], and prominently display the text [specific message e.g., ‘50% Off All Items!’]. Ensure a balanced composition suitable for both online and physical display.","Crie banners visualmente impressionantes para uma [ocasião ou propósito específico, por exemplo, 'liquidação de verão']. Incorpore elementos que representem [tema ou sentimento específico, por exemplo, 'vibrações de praia e relaxamento'] e exiba com destaque o texto [mensagem específica, por exemplo, '50% de desconto em todos os itens!']. Garanta uma composição equilibrada adequada para exibição online e física."
Billboard Design,"Design striking photo billboards for a [specific product or event e.g., ‘new smartphone launch’] by [specific brand or company e.g., ‘Techtron’], emphasizing [specific features or theme e.g., ‘sleek design and long battery life’]. Ensure the visual layout attracts attention from a distance and includes a [specific call-to-action or message e.g., ‘Available Now!’].","Crie outdoors fotográficos marcantes para um [produto ou evento específico, por exemplo, ‘lançamento de novo smartphone’] de [marca ou empresa específica, por exemplo, ‘Techtron’], enfatizando [recursos ou tema específicos, por exemplo, ‘design elegante e bateria de longa duração’]. Certifique-se de que o layout visual atraia a atenção à distância e inclua uma [frase de chamariz ou mensagem específica, por exemplo, 'Disponível agora!']."
Brochure Design,"Design visually appealing brochures for a [specific industry or event e.g., ‘travel agency’ or ‘tech conference’], highlighting the key features of [specific product, service, or event details e.g., ‘European vacation packages’ or ‘speaker lineup’], and incorporating imagery that resonates with [specific theme or feeling e.g., ‘adventure and discovery’ or ‘innovation and growth’]. (Tall)","Crie brochuras visualmente atraentes para um [setor ou evento específico, por exemplo, 'agência de viagens' ou 'conferência de tecnologia'], destacando os principais recursos de [detalhes específicos de produtos, serviços ou eventos, por exemplo, 'pacotes de férias na Europa' ou 'programação de palestrantes' ] e incorporando imagens que ressoem com [tema ou sentimento específico, por exemplo, 'aventura e descoberta' ou 'inovação e crescimento']. (Alto)"
Photo Backdrop,"Design unique photo backdrops with stand for [specific event or theme e.g., ‘a wedding reception’], featuring [specific elements or motifs e.g., ‘floral patterns and golden accents’]. Ensure the design evokes a feeling of [specific mood or emotion e.g., ‘elegance and romance’]. (Wide)","Projete cenários fotográficos exclusivos com suporte para [evento ou tema específico, por exemplo, 'uma recepção de casamento'], apresentando [elementos ou motivos específicos, por exemplo, 'padrões florais e detalhes dourados']. Certifique-se de que o design evoque uma sensação de [humor ou emoção específica, por exemplo, ‘elegância e romance’]. (Largo)"
Restaurant Menu,"Design visually appealing photo restaurant menus for a [Chinese cuisine] eatery named [specific restaurant name e.g., ‘Bella Italia’], highlighting dishes that embody [specific theme or specialty e.g., ‘homemade pasta and traditional desserts’]. The menu should have sections for [specific categories e.g., ‘appetizers, main courses, desserts, and drinks’], with a design that evokes [specific ambiance or feeling e.g., ‘a cozy Italian countryside’].","Crie menus fotográficos visualmente atraentes para um restaurante de [cozinha chinesa] chamado [nome específico do restaurante, por exemplo, 'Bella Italia'], destacando pratos que incorporam [tema ou especialidade específica, por exemplo, 'massas caseiras e sobremesas tradicionais']. O menu deve ter seções para [categorias específicas, por exemplo, ‘aperitivos, pratos principais, sobremesas e bebidas’], com um design que evoque [ambiente ou sentimento específico, por exemplo, ‘um aconchegante campo italiano’]."
Fabric Design,"Create seamless fabric design patterns inspired by [specific theme or concept e.g., ‘tropical paradise’], incorporating elements such as [specific items or motifs e.g., ‘palm trees, sunsets, and parrots’], suitable for [specific type of fabric or use e.g., ‘summer dresses’].","Crie padrões de design de tecido sem costura inspirados em [tema ou conceito específico, por exemplo, 'paraíso tropical'], incorporando elementos como [itens ou motivos específicos, por exemplo, 'palmeiras, pôr do sol e papagaios'], adequados para [tipo específico de tecido ou use, por exemplo, 'vestidos de verão']."
UI Design,"UI layouts photos for for a [specific platform e.g., ‘mobile app’] focused on [specific function e.g., ‘online shopping’], incorporating elements that cater to [specific user need or demographic e.g., ‘teenagers looking for trendy fashion’]. Ensure the main color scheme revolves around [specific colors e.g., ‘blue and white’] and includes intuitive icons for [specific actions e.g., ‘adding to cart and checking out’].","Fotos de layouts de IU para uma [plataforma específica, por exemplo, 'aplicativo móvel'] focada em [função específica, por exemplo, 'compras on-line'], incorporando elementos que atendem a [necessidades específicas do usuário ou demográfico, por exemplo, 'adolescentes em busca de moda da moda'] . Certifique-se de que o esquema de cores principal gire em torno de [cores específicas, por exemplo, ‘azul e branco’] e inclua ícones intuitivos para [ações específicas, por exemplo, ‘adicionar ao carrinho e finalizar compra’]."
Wall Mural Design,"Wide wall murals for a [specific location or setting e.g., ‘cafe interior’] depicting [specific theme or subject e.g., ‘nature and wildlife’], incorporating elements that convey [specific feeling or atmosphere e.g., ‘serenity and peace’]. The mural should blend harmoniously with the surroundings.","Murais de parede largos para um [local ou ambiente específico, por exemplo, ‘interior de um café’] representando [tema ou assunto específico, por exemplo, ‘natureza e vida selvagem’], incorporando elementos que transmitem [sentimento ou atmosfera específica, por exemplo, ‘serenidade e paz’]. O mural deve combinar harmoniosamente com o ambiente."
Office Branding Design,"Design a cohesive office branding set for a [specific type of business e.g., ‘tech startup’] named [specific name e.g., ‘TechFlow’], reflecting a [specific ambiance e.g., ‘modern and innovative’]. The set should include [specific items e.g., ‘wall murals, reception desk branding, and stationery items’], emphasizing the company’s core values and identity.","Projete um conjunto de marca de escritório coeso para um [tipo específico de negócio, por exemplo, 'startup de tecnologia'] chamado [nome específico, por exemplo, 'TechFlow'], refletindo um [ambiente específico, por exemplo, 'moderno e inovador']. O conjunto deve incluir [itens específicos, por exemplo, ‘murais de parede, marca da recepção e itens de papelaria’], enfatizando os valores fundamentais e a identidade da empresa."
Technical Illustration,"Illustrate detailed technical diagrams of a [specific device or machinery e.g., ‘jet engine’], highlighting its [specific components or features e.g., ‘combustion chamber and turbine blades’], with annotations explaining [specific functions or processes e.g., ‘air intake and thrust production’]. Ensure clarity and precision in the representation.","Ilustre diagramas técnicos detalhados de um [dispositivo ou maquinário específico, por exemplo, 'motor a jato'], destacando seus [componentes ou características específicas, por exemplo, 'câmara de combustão e pás de turbina'], com anotações explicando [funções ou processos específicos, por exemplo, 'entrada de ar e produção de impulso']. Garanta clareza e precisão na representação."
Illustration Design,"Craft detailed illustrations that captures the essence of [specific theme or concept e.g., ‘the tranquility of nature’], featuring elements like [specific objects or beings e.g., ‘tall pine trees, a serene lake, and birds in flight’], set in [specific setting or environment e.g., ‘a peaceful forest during autumn’].","Crie ilustrações detalhadas que capturem a essência de [tema ou conceito específico, por exemplo, 'a tranquilidade da natureza'], apresentando elementos como [objetos ou seres específicos, por exemplo, 'pinheiros altos, um lago sereno e pássaros em vôo'], conjunto em [cenário ou ambiente específico, por exemplo, 'uma floresta pacífica durante o outono']."
Product Design,"Create detailed 3D models of a [specific type of product e.g., ‘smartphone’] with [specific features or design elements e.g., ‘a curved edge screen and dual rear cameras’], reflecting a design aesthetic that embodies [specific theme or style e.g., ‘minimalism and elegance’].","Crie modelos 3D detalhados de um [tipo específico de produto, por exemplo, 'smartphone'] com [recursos ou elementos de design específicos, por exemplo, 'uma tela de borda curva e câmeras traseiras duplas'], refletindo uma estética de design que incorpora [tema ou estilo específico, por exemplo. , 'minimalismo e elegância']."
Signage Design,"Design visually striking signages for a [specific type of location or establishment e.g., ‘library’] named [specific name e.g., ‘City Central Library’], incorporating elements that resonate with [specific theme or atmosphere e.g., ‘knowledge and serenity’]. Ensure the text is legible and stands out, capturing the essence of the establishment’s purpose. Include key details like [specific information e.g., ‘opening hours or contact details’] in a smaller font at the bottom.","Projete sinalizações visualmente impressionantes para um [tipo específico de local ou estabelecimento, por exemplo, 'biblioteca'] chamado [nome específico, por exemplo, 'Biblioteca Central da Cidade'], incorporando elementos que ressoem com [tema ou atmosfera específica, por exemplo, 'conhecimento e serenidade'] . Certifique-se de que o texto seja legível e destacado, captando a essência do propósito do estabelecimento. Inclua detalhes importantes como [informações específicas, por exemplo, ‘horário de funcionamento ou detalhes de contato’] em uma fonte menor na parte inferior."
Stationery Design,"Top down view of 4 cohesive sets of stationery for a [specific type of business or event e.g., ‘wedding’] with the theme of [specific theme or color scheme e.g., ‘elegant gold and white’], including elements such as [specific symbols or motifs e.g., ‘floral patterns or monograms’]. The set should consist of a letterhead, envelope, and business card, reflecting the essence of [specific brand or event attributes e.g., ‘luxury and sophistication’].","Vista de cima para baixo de 4 conjuntos coesos de papel de carta para um [tipo específico de negócio ou evento, por exemplo, 'casamento'] com o tema [tema específico ou esquema de cores, por exemplo, 'dourado e branco elegante'], incluindo elementos como [específico símbolos ou motivos, por exemplo, 'padrões florais ou monogramas']. O conjunto deve consistir em papel timbrado, envelope e cartão de visita, refletindo a essência de [marca específica ou atributos do evento, por exemplo, ‘luxo e sofisticação’]."
Mascot Design,"Design 3D models of a mascot for [specific organization or event e.g., ‘a sports team’], representing [specific characteristics or theme e.g., ‘strength and agility’], with distinct features such as [specific attributes e.g., ‘a lion’s mane or eagle’s talons’]. The mascot should be set against a white background, ensuring it stands out prominently.","Projete modelos 3D de um mascote para [organização ou evento específico, por exemplo, 'uma equipe esportiva'], representando [características ou tema específico, por exemplo, 'força e agilidade'], com características distintas, como [atributos específicos, por exemplo, 'juba de leão' ou garras de águia']. O mascote deve ser colocado sobre um fundo branco, garantindo que se destaque."
Window Display Design,"Eye-catching wide photos of window display for a [specific type of store e.g., ‘boutique fashion store’] with a [specific theme e.g., ‘spring floral’] motif, featuring [specific items or elements e.g., ‘mannequins wearing pastel dresses’] and evoking a feeling of [specific emotion or sensation e.g., ‘freshness and renewal’].","Fotos amplas e atraentes da vitrine de um [tipo específico de loja, por exemplo, 'loja de moda boutique'] com um motivo [tema específico, por exemplo, 'floral de primavera'], apresentando [itens ou elementos específicos, por exemplo, 'manequins usando vestidos pastel '] e evocando um sentimento de [emoção ou sensação específica, por exemplo, 'frescor e renovação']."
Label Design,"Design clean vector labels for a [specific product e.g., ‘organic honey’] named [specific name e.g., ‘Nature’s Gold’], incorporating elements that highlight [specific characteristics or theme e.g., ‘purity and sweetness’].","Projete rótulos vetoriais limpos para um [produto específico, por exemplo, 'mel orgânico'] chamado [nome específico, por exemplo, 'Ouro da Natureza'], incorporando elementos que destacam [características ou tema específico, por exemplo, 'pureza e doçura']."
Craft Design,"Craft vector designs for a [specific type of craft item e.g., ‘handmade necklace’] using materials like [specific materials e.g., ‘beads, leather, and metal charms’], inspired by [specific theme or style e.g., ‘vintage elegance’]. Ensure it reflects the essence of [specific occasion or purpose e.g., ‘a summer evening party’].","Crie designs vetoriais para um [tipo específico de item artesanal, por exemplo, 'colar feito à mão'] usando materiais como [materiais específicos, por exemplo, 'miçangas, couro e amuletos de metal'], inspirados em [tema ou estilo específico, por exemplo, 'elegância vintage' ]. Certifique-se de que reflete a essência de [ocasião ou propósito específico, por exemplo, ‘uma festa à noite de verão’]."
Meme,"Generate humorous memes with [specific background or setting e.g., ‘a beach during sunset’], featuring [specific character or object e.g., ‘a cat wearing sunglasses’], accompanied by a witty caption that says “[specific text e.g., ‘Vacation mode activated!’]”.","Gere memes humorísticos com [plano de fundo ou cenário específico, por exemplo, 'uma praia durante o pôr do sol'], apresentando [personagem ou objeto específico, por exemplo, 'um gato usando óculos escuros'], acompanhado por uma legenda espirituosa que diz “[texto específico, por exemplo, 'Férias modo ativado!']”."
Botanical Illustrations,"Wide drawing of a botanical collection of [specific plants or flowers e.g., ‘roses, tulips, and lavender’] against a white background. Accompany each plant or flower with elegant text indicating its name [e.g., ‘Rose’, ‘Tulip’, ‘Lavender’]. Ensure the illustrations capture the intricate details and unique characteristics of each specimen.","Desenho amplo de uma coleção botânica de [plantas ou flores específicas, por exemplo, ‘rosas, tulipas e lavanda’] contra um fundo branco. Acompanhe cada planta ou flor com um texto elegante indicando seu nome [por exemplo, ‘Rosa’, ‘Tulipa’, ‘Lavanda’]. Certifique-se de que as ilustrações capturem os detalhes intrincados e as características únicas de cada espécime."
Coloring Book,"Design detailed coloring book pages featuring [specific subject or theme e.g., ‘underwater creatures’], with clear outlines and patterns that allow for [specific activity or interaction e.g., ‘creative coloring and shading’]. The scene should be lively, highlighting [specific elements or characters e.g., ‘a playful dolphin and intricate corals’].","Crie páginas detalhadas de livros para colorir apresentando [assunto ou tema específico, por exemplo, 'criaturas subaquáticas'], com contornos e padrões claros que permitam [atividade ou interação específica, por exemplo, 'coloração e sombreamento criativos']. A cena deve ser animada, destacando [elementos ou personagens específicos, por exemplo, ‘um golfinho brincalhão e corais intrincados’]."
